"","V1","V2"
"616",97885,-30065
"617",97895,-30065
"618",97905,-30065
"619",97915,-30065
"620",97925,-30065
"621",97935,-30065
"622",97945,-30065
"623",97955,-30065
"624",97965,-30065
"625",97975,-30065
"626",97985,-30065
"627",97995,-30065
"628",98005,-30065
"629",98015,-30065
"630",98025,-30065
"631",98035,-30065
"632",98045,-30065
"633",98055,-30065
"634",98065,-30065
"635",98075,-30065
"636",98085,-30065
"637",98095,-30065
"638",98105,-30065
"639",98115,-30065
"640",98125,-30065
"641",98135,-30065
"642",98145,-30065
"643",96015,-30055
"644",96025,-30055
"645",96035,-30055
"646",96045,-30055
"647",96055,-30055
"648",96065,-30055
"649",96075,-30055
"650",96085,-30055
"651",96095,-30055
"652",96105,-30055
"653",96115,-30055
"654",96125,-30055
"655",96135,-30055
"656",96145,-30055
"657",96155,-30055
"658",96165,-30055
"659",96175,-30055
"660",96185,-30055
"661",96195,-30055
"662",96205,-30055
"663",96215,-30055
"664",96225,-30055
"665",96235,-30055
"666",96245,-30055
"667",96255,-30055
"668",96265,-30055
"669",96275,-30055
"670",96285,-30055
"671",96295,-30055
"672",96305,-30055
"673",96315,-30055
"674",96325,-30055
"675",96335,-30055
"676",96345,-30055
"677",96355,-30055
"678",96365,-30055
"679",96375,-30055
"680",96385,-30055
"681",96395,-30055
"682",96405,-30055
"683",96415,-30055
"684",96425,-30055
"685",96435,-30055
"686",96445,-30055
"687",96455,-30055
"688",96465,-30055
"689",96475,-30055
"690",96485,-30055
"691",96495,-30055
"692",96505,-30055
"693",96515,-30055
"694",96525,-30055
"695",96535,-30055
"696",96545,-30055
"697",96555,-30055
"698",96565,-30055
"699",96575,-30055
"700",96585,-30055
"701",96595,-30055
"702",96605,-30055
"703",96615,-30055
"704",96625,-30055
"705",96635,-30055
"706",96645,-30055
"707",96655,-30055
"708",96665,-30055
"709",96675,-30055
"710",96685,-30055
"711",96695,-30055
"712",96705,-30055
"713",96715,-30055
"714",96725,-30055
"715",96735,-30055
"716",96745,-30055
"717",96755,-30055
"718",96765,-30055
"719",96775,-30055
"720",96785,-30055
"721",96795,-30055
"722",96805,-30055
"723",96815,-30055
"724",96825,-30055
"725",96835,-30055
"726",96845,-30055
"727",96855,-30055
"728",96865,-30055
"729",96875,-30055
"730",96885,-30055
"731",96895,-30055
"732",96905,-30055
"733",96915,-30055
"734",96925,-30055
"735",96935,-30055
"736",96945,-30055
"737",96955,-30055
"738",96965,-30055
"739",96975,-30055
"740",96985,-30055
"741",96995,-30055
"742",97005,-30055
"743",97015,-30055
"744",97025,-30055
"745",97035,-30055
"746",97045,-30055
"747",97055,-30055
"748",97065,-30055
"749",97075,-30055
"750",97085,-30055
"751",97095,-30055
"752",97105,-30055
"753",97115,-30055
"754",97125,-30055
"755",97135,-30055
"756",97145,-30055
"757",97155,-30055
"758",97165,-30055
"759",97175,-30055
"760",97185,-30055
"761",97195,-30055
"762",97205,-30055
"763",97215,-30055
"764",97225,-30055
"765",97235,-30055
"766",97245,-30055
"767",97255,-30055
"768",97265,-30055
"769",97275,-30055
"770",97285,-30055
"771",97295,-30055
"772",97305,-30055
"773",97315,-30055
"774",97325,-30055
"775",97335,-30055
"776",97345,-30055
"777",97355,-30055
"778",97365,-30055
"779",97375,-30055
"780",97385,-30055
"781",97395,-30055
"782",97405,-30055
"783",97415,-30055
"784",97425,-30055
"785",97435,-30055
"786",97445,-30055
"787",97455,-30055
"788",97465,-30055
"789",97475,-30055
"790",97485,-30055
"791",97495,-30055
"792",97505,-30055
"793",97515,-30055
"794",97525,-30055
"795",97535,-30055
"796",97545,-30055
"797",97555,-30055
"798",97565,-30055
"799",97575,-30055
"800",97585,-30055
"801",97595,-30055
"802",97605,-30055
"803",97615,-30055
"804",97625,-30055
"805",97635,-30055
"806",97645,-30055
"807",97655,-30055
"808",97665,-30055
"809",97675,-30055
"810",97685,-30055
"811",97695,-30055
"812",97705,-30055
"813",97715,-30055
"814",97725,-30055
"815",97735,-30055
"816",97745,-30055
"817",97755,-30055
"818",97765,-30055
"819",97775,-30055
"820",97785,-30055
"821",97795,-30055
"822",97805,-30055
"823",97815,-30055
"824",97825,-30055
"825",97835,-30055
"826",97845,-30055
"827",97855,-30055
"828",97865,-30055
"829",97875,-30055
"830",97885,-30055
"831",97895,-30055
"832",97905,-30055
"833",97915,-30055
"834",97925,-30055
"835",97935,-30055
"836",97945,-30055
"837",97955,-30055
"838",97965,-30055
"839",97975,-30055
"840",97985,-30055
"841",97995,-30055
"842",98005,-30055
"843",98015,-30055
"844",98025,-30055
"845",98035,-30055
"846",98045,-30055
"847",98055,-30055
"848",98065,-30055
"849",98075,-30055
"850",98085,-30055
"851",98095,-30055
"852",98105,-30055
"853",98115,-30055
"854",98125,-30055
"855",98135,-30055
"856",98145,-30055
"857",96015,-30045
"858",96025,-30045
"859",96035,-30045
"860",96045,-30045
"861",96055,-30045
"862",96065,-30045
"863",96075,-30045
"864",96085,-30045
"865",96095,-30045
"866",96105,-30045
"867",96115,-30045
"868",96125,-30045
"869",96135,-30045
"870",96145,-30045
"871",96155,-30045
"872",96165,-30045
"873",96175,-30045
"874",96185,-30045
"875",96195,-30045
"876",96205,-30045
"877",96215,-30045
"878",96225,-30045
"879",96235,-30045
"880",96245,-30045
"881",96255,-30045
"882",96265,-30045
"883",96275,-30045
"884",96285,-30045
"885",96295,-30045
"886",96305,-30045
"887",96315,-30045
"888",96325,-30045
"889",96335,-30045
"890",96345,-30045
"891",96355,-30045
"892",96365,-30045
"893",96375,-30045
"894",96385,-30045
"895",96395,-30045
"896",96405,-30045
"897",96415,-30045
"898",96425,-30045
"899",96435,-30045
"900",96445,-30045
"901",96455,-30045
"902",96465,-30045
"903",96475,-30045
"904",96485,-30045
"905",96495,-30045
"906",96505,-30045
"907",96515,-30045
"908",96525,-30045
"909",96535,-30045
"910",96545,-30045
"911",96555,-30045
"912",96565,-30045
"913",96575,-30045
"914",96585,-30045
"915",96595,-30045
"916",96605,-30045
"917",96615,-30045
"918",96625,-30045
"919",96635,-30045
"920",96645,-30045
"921",96655,-30045
"922",96665,-30045
"923",96675,-30045
"924",96685,-30045
"925",96695,-30045
"926",96705,-30045
"927",96715,-30045
"928",96725,-30045
"929",96735,-30045
"930",96745,-30045
"931",96755,-30045
"932",96765,-30045
"933",96775,-30045
"934",96785,-30045
"935",96795,-30045
"936",96805,-30045
"937",96815,-30045
"938",96825,-30045
"939",96835,-30045
"940",96845,-30045
"941",96855,-30045
"942",96865,-30045
"943",96875,-30045
"944",96885,-30045
"945",96895,-30045
"946",96905,-30045
"947",96915,-30045
"948",96925,-30045
"949",96935,-30045
"950",96945,-30045
"951",96955,-30045
"952",96965,-30045
"953",96975,-30045
"954",96985,-30045
"955",96995,-30045
"956",97005,-30045
"957",97015,-30045
"958",97025,-30045
"959",97035,-30045
"960",97045,-30045
"961",97055,-30045
"962",97065,-30045
"963",97075,-30045
"964",97085,-30045
"965",97095,-30045
"966",97105,-30045
"967",97115,-30045
"968",97125,-30045
"969",97135,-30045
"970",97145,-30045
"971",97155,-30045
"972",97165,-30045
"973",97175,-30045
"974",97185,-30045
"975",97195,-30045
"976",97205,-30045
"977",97215,-30045
"978",97225,-30045
"979",97235,-30045
"980",97245,-30045
"981",97255,-30045
"982",97265,-30045
"983",97275,-30045
"984",97285,-30045
"985",97295,-30045
"986",97305,-30045
"987",97315,-30045
"988",97325,-30045
"989",97335,-30045
"990",97345,-30045
"991",97355,-30045
"992",97365,-30045
"993",97375,-30045
"994",97385,-30045
"995",97395,-30045
"996",97405,-30045
"997",97415,-30045
"998",97425,-30045
"999",97435,-30045
"1000",97445,-30045
"1001",97455,-30045
"1002",97465,-30045
"1003",97475,-30045
"1004",97485,-30045
"1005",97495,-30045
"1006",97505,-30045
"1007",97515,-30045
"1008",97525,-30045
"1009",97535,-30045
"1010",97545,-30045
"1011",97555,-30045
"1012",97565,-30045
"1013",97575,-30045
"1014",97585,-30045
"1015",97595,-30045
"1016",97605,-30045
"1017",97615,-30045
"1018",97625,-30045
"1019",97635,-30045
"1020",97645,-30045
"1021",97655,-30045
"1022",97665,-30045
"1023",97675,-30045
"1024",97685,-30045
"1025",97695,-30045
"1026",97705,-30045
"1027",97715,-30045
"1028",97725,-30045
"1029",97735,-30045
"1030",97745,-30045
"1031",97755,-30045
"1032",97765,-30045
"1033",97775,-30045
"1034",97785,-30045
"1035",97795,-30045
"1036",97805,-30045
"1037",97815,-30045
"1038",97825,-30045
"1039",97835,-30045
"1040",97845,-30045
"1041",97855,-30045
"1042",97865,-30045
"1043",97875,-30045
"1044",97885,-30045
"1045",97895,-30045
"1046",97905,-30045
"1047",97915,-30045
"1048",97925,-30045
"1049",97935,-30045
"1050",97945,-30045
"1051",97955,-30045
"1052",97965,-30045
"1053",97975,-30045
"1054",97985,-30045
"1055",97995,-30045
"1056",98005,-30045
"1057",98015,-30045
"1058",98025,-30045
"1059",98035,-30045
"1060",98045,-30045
"1061",98055,-30045
"1062",98065,-30045
"1063",98075,-30045
"1064",98085,-30045
"1065",98095,-30045
"1066",98105,-30045
"1067",98115,-30045
"1068",98125,-30045
"1069",98135,-30045
"1070",98145,-30045
"1071",96015,-30035
"1072",96025,-30035
"1073",96035,-30035
"1074",96045,-30035
"1075",96055,-30035
"1076",96065,-30035
"1077",96075,-30035
"1078",96085,-30035
"1079",96095,-30035
"1080",96105,-30035
"1081",96115,-30035
"1082",96125,-30035
"1083",96135,-30035
"1084",96145,-30035
"1085",96155,-30035
"1086",96165,-30035
"1087",96175,-30035
"1088",96185,-30035
"1089",96195,-30035
"1090",96205,-30035
"1091",96215,-30035
"1092",96225,-30035
"1093",96235,-30035
"1094",96245,-30035
"1095",96255,-30035
"1096",96265,-30035
"1097",96275,-30035
"1098",96285,-30035
"1099",96295,-30035
"1100",96305,-30035
"1101",96315,-30035
"1102",96325,-30035
"1103",96335,-30035
"1104",96345,-30035
"1105",96355,-30035
"1106",96365,-30035
"1107",96375,-30035
"1108",96385,-30035
"1109",96395,-30035
"1110",96405,-30035
"1111",96415,-30035
"1112",96425,-30035
"1113",96435,-30035
"1114",96445,-30035
"1115",96455,-30035
"1116",96465,-30035
"1117",96475,-30035
"1118",96485,-30035
"1119",96495,-30035
"1120",96505,-30035
"1121",96515,-30035
"1122",96525,-30035
"1123",96535,-30035
"1124",96545,-30035
"1125",96555,-30035
"1126",96565,-30035
"1127",96575,-30035
"1128",96585,-30035
"1129",96595,-30035
"1130",96605,-30035
"1131",96615,-30035
"1132",96625,-30035
"1133",96635,-30035
"1134",96645,-30035
"1135",96655,-30035
"1136",96665,-30035
"1137",96675,-30035
"1138",96685,-30035
"1139",96695,-30035
"1140",96705,-30035
"1141",96715,-30035
"1142",96725,-30035
"1143",96735,-30035
"1144",96745,-30035
"1145",96755,-30035
"1146",96765,-30035
"1147",96775,-30035
"1148",96785,-30035
"1149",96795,-30035
"1150",96805,-30035
"1151",96815,-30035
"1152",96825,-30035
"1153",96835,-30035
"1154",96845,-30035
"1155",96855,-30035
"1156",96865,-30035
"1157",96875,-30035
"1158",96885,-30035
"1159",96895,-30035
"1160",96905,-30035
"1161",96915,-30035
"1162",96925,-30035
"1163",96935,-30035
"1164",96945,-30035
"1165",96955,-30035
"1166",96965,-30035
"1167",96975,-30035
"1168",96985,-30035
"1169",96995,-30035
"1170",97005,-30035
"1171",97015,-30035
"1172",97025,-30035
"1173",97035,-30035
"1174",97045,-30035
"1175",97055,-30035
"1176",97065,-30035
"1177",97075,-30035
"1178",97085,-30035
"1179",97095,-30035
"1180",97105,-30035
"1181",97115,-30035
"1182",97125,-30035
"1183",97135,-30035
"1184",97145,-30035
"1185",97155,-30035
"1186",97165,-30035
"1187",97175,-30035
"1188",97185,-30035
"1189",97195,-30035
"1190",97205,-30035
"1191",97215,-30035
"1192",97225,-30035
"1193",97235,-30035
"1194",97245,-30035
"1195",97255,-30035
"1196",97265,-30035
"1197",97275,-30035
"1198",97285,-30035
"1199",97295,-30035
"1200",97305,-30035
"1201",97315,-30035
"1202",97325,-30035
"1203",97335,-30035
"1204",97345,-30035
"1205",97355,-30035
"1206",97365,-30035
"1207",97375,-30035
"1208",97385,-30035
"1209",97395,-30035
"1210",97405,-30035
"1211",97415,-30035
"1212",97425,-30035
"1213",97435,-30035
"1214",97445,-30035
"1215",97455,-30035
"1216",97465,-30035
"1217",97475,-30035
"1218",97485,-30035
"1219",97495,-30035
"1220",97505,-30035
"1221",97515,-30035
"1222",97525,-30035
"1223",97535,-30035
"1224",97545,-30035
"1225",97555,-30035
"1226",97565,-30035
"1227",97575,-30035
"1228",97585,-30035
"1229",97595,-30035
